image_filepath,part_id,label,dE_max,dE_mean,op_agreement_gap,n_dropped_points,truck_number,date,well_number,well_size
training_set\images\image_00099.jpg,99,PASS,2.287257336556311,1.7769101340940603,0.1449248033392796,0,111.0,10/21/2024,29,7024
training_set\images\image_00100.jpg,100,PASS,3.0859606781165474,1.9312811868102635,0.7301731076760132,1,111.0,10/21/2024,30,7024
training_set\images\image_00101.jpg,101,PASS,2.1620873553842874,1.8449247042002568,0.3007976864174877,0,111.0,10/21/2024,31,7024
training_set\images\image_00102.jpg,102,PASS,2.449062450447475,2.001183424315222,0.4048986519582516,0,111.0,10/21/2024,32,7024
training_set\images\image_00104.jpg,104,PASS,2.1222960611758244,1.230508030485478,0.3674242284953239,0,111.0,10/21/2024,1,7038
training_set\images\image_00105.jpg,105,PASS,2.363641470185178,1.720503990642719,0.5788730215103348,0,111.0,10/21/2024,2,7038
training_set\images\image_00106.jpg,106,PASS,5.855829962750695,2.117799795852184,3.832943375604572,0,111.0,10/21/2024,3,7038
training_set\images\image_00107.jpg,107,PASS,2.0706158110442816,1.6242119506307338,0.0896571397495178,0,111.0,10/21/2024,4,7038
training_set\images\image_00108.jpg,108,PASS,1.7518238219948346,1.25161526487,0.3130400559221948,0,111.0,10/21/2024,5,7038
training_set\images\image_00109.jpg,109,PASS,2.624474434084903,2.128858878749772,0.058401910127829,0,111.0,10/21/2024,6,7038
training_set\images\image_00110.jpg,110,PASS,2.031857591126254,1.662248978998984,0.0787414620965549,0,111.0,10/21/2024,7,7038
training_set\images\image_00112.jpg,112,PASS,2.2580464550328623,1.8841592478412037,0.264656386235949,0,111.0,10/21/2024,8,7038
training_set\images\image_00113.jpg,113,PASS,1.931435532259725,1.4578557631618312,0.569960626143408,0,111.0,10/21/2024,9,7038
training_set\images\image_00114.jpg,114,PASS,2.313704839379035,1.5582244994428958,0.8373508523719293,1,111.0,10/21/2024,10,7038
training_set\images\image_00115.jpg,115,PASS,4.00600296835397,1.7891896428364584,2.5268726343909416,0,111.0,10/21/2024,11,7038
training_set\images\image_00116.jpg,116,PASS,2.395720698107872,1.970778640663324,0.099060910749813,0,111.0,10/21/2024,12,7038
training_set\images\image_00117.jpg,117,PASS,2.432283540516165,1.971826632833989,0.4306331462128758,0,111.0,10/21/2024,13,7038
training_set\images\image_00118.jpg,118,PASS,2.045606416569492,1.6419060965233214,0.1444970915679686,0,111.0,10/21/2024,14,7038
training_set\images\image_00120.jpg,120,PASS,2.0069503387289074,1.1095572577087585,1.2624231843489475,0,111.0,10/29/2024,34,7024
training_set\images\image_00121.jpg,121,FAIL,8.15758987830649,5.583262719958469,1.3763747618656437,0,111.0,10/29/2024,35,7024
training_set\images\image_00122.jpg,122,FAIL,2.8635851144537403,2.172982925155523,0.3844219604647843,0,111.0,10/29/2024,36,7024
training_set\images\image_00123.jpg,123,FAIL,5.112935004165309,3.662099541194229,1.6760072028498634,0,111.0,10/29/2024,37,7024
training_set\images\image_00124.jpg,124,FAIL,6.035557210333703,4.607023088329097,0.3944413671516207,0,111.0,10/29/2024,38,7024
training_set\images\image_00125.jpg,125,FAIL,7.715330600289297,4.312536302053329,4.861765268989379,0,111.0,10/29/2024,39,7024
training_set\images\image_00126.jpg,126,FAIL,5.903767453107667,4.73356353883614,0.3955998760449306,0,111.0,10/29/2024,40,7024
training_set\images\image_00127.jpg,127,FAIL,8.578533049706222,5.940996490767536,0.1021983713674981,0,111.0,10/29/2024,41,7024
training_set\images\image_00128.jpg,128,FAIL,4.505029660060925,3.476428021631472,0.6674509562853723,0,111.0,10/29/2024,42,7024
training_set\images\image_00129.jpg,129,FAIL,5.979970750029263,4.7827330484232125,1.3426002278133833,0,111.0,10/29/2024,43,7024
training_set\images\image_00131.jpg,131,FAIL,6.337628441554772,4.502927541130464,1.99590736420324,0,111.0,10/29/2024,44,7024
training_set\images\image_00132.jpg,132,FAIL,7.208624372132039,6.217257772266325,0.0494498417187623,0,111.0,10/29/2024,45,7024
training_set\images\image_00133.jpg,133,FAIL,5.547714512643849,3.1887154323679074,1.3466321842739806,1,111.0,10/29/2024,46,7024
training_set\images\image_00134.jpg,134,FAIL,4.813350539615102,3.522710248548304,1.2133823743413283,0,111.0,10/29/2024,47,7024
training_set\images\image_00135.jpg,135,FAIL,4.846350178298253,3.46202427758781,1.3652967550089956,0,111.0,10/29/2024,48,7024
training_set\images\image_00136.jpg,136,FAIL,3.782986252328477,2.8389905931499766,0.1761089542938529,0,111.0,10/29/2024,49,7024
training_set\images\image_00137.jpg,137,FAIL,4.889185099990756,2.9042649063385184,0.9641189290787402,0,111.0,10/29/2024,50,7024
training_set\images\image_00138.jpg,138,FAIL,5.376157129950402,4.67391975530273,0.6388816685179579,0,111.0,10/29/2024,51,7024
training_set\images\image_00139.jpg,139,FAIL,6.712774559028768,5.175955075572827,0.8984529967136581,0,111.0,10/29/2024,52,7024
training_set\images\image_00140.jpg,140,FAIL,7.48970260823349,5.627059238224931,0.265952592078972,0,111.0,10/29/2024,53,7024
training_set\images\image_00141.jpg,141,PASS,2.0779509563821965,1.6800732737074344,0.0358769730889485,0,112.0,10/29/2024,1,6024
training_set\images\image_00142.jpg,142,PASS,2.372384962116799,1.743476748786667,0.2346770649842215,0,112.0,10/29/2024,2,6024
training_set\images\image_00143.jpg,143,PASS,2.7396914522203004,1.5990876987836575,1.1153252944907546,0,112.0,10/29/2024,3,6024
training_set\images\image_00144.jpg,144,PASS,2.8786224778793006,1.3991704238966909,1.3520202097159884,0,112.0,10/29/2024,4,6024
training_set\images\image_00145.jpg,145,PASS,2.95668188118446,1.5736162787653114,0.6740218951218235,0,112.0,10/29/2024,5,6024
training_set\images\image_00146.jpg,146,PASS,3.9710838351591615,2.3555655148124712,1.4991935610308214,1,112.0,10/29/2024,6,6024
training_set\images\image_00147.jpg,147,PASS,2.9123976529342683,1.68529395052039,1.9841719411376983,0,112.0,10/29/2024,7,6024
training_set\images\image_00148.jpg,148,PASS,3.021214910963544,1.7435348520028373,0.7755930484240747,0,112.0,10/29/2024,8,6024
training_set\images\image_00149.jpg,149,PASS,2.5468490172808447,1.8302112094251408,0.4401094803588656,0,112.0,10/29/2024,9,6024
training_set\images\image_00150.jpg,150,PASS,2.214093602588642,1.4707613959527923,0.5867213836206293,0,112.0,10/29/2024,10,6024
training_set\images\image_00151.jpg,151,PASS,2.3694414902884806,1.5677764606009534,0.4952228662532096,1,112.0,10/29/2024,11,6024
training_set\images\image_00152.jpg,152,PASS,1.7493876722174806,1.169430536252426,0.3303983050836057,0,112.0,10/29/2024,12,6024
training_set\images\image_00153.jpg,153,PASS,2.07240197373936,1.380489709197479,0.2362628439719285,0,112.0,10/29/2024,1,6038
training_set\images\image_00154.jpg,154,PASS,1.7954126320070536,1.498236407447368,0.0818998916705764,0,112.0,10/29/2024,2,6038
training_set\images\image_00155.jpg,155,PASS,2.265482432635073,1.761980751197657,0.3678532810935933,0,112.0,10/29/2024,3,6038
training_set\images\image_00156.jpg,156,PASS,2.903544044566216,2.0189713928226465,0.4883495678903524,0,112.0,10/29/2024,4,6038
training_set\images\image_00157.jpg,157,PASS,1.6723752529883202,1.0228241264395128,0.5224766883589838,0,112.0,10/29/2024,5,6038
training_set\images\image_00158.jpg,158,PASS,2.0078969948478296,1.4588294693692887,0.2998384558256599,0,112.0,10/29/2024,6,6038
training_set\images\image_00160.jpg,160,PASS,2.063091273388,1.5976355633831891,0.586759701958135,0,112.0,10/30/2024,7,6038
training_set\images\image_00161.jpg,161,PASS,2.0961469595459654,1.405014032087643,0.1588880231327307,0,112.0,10/30/2024,8,6038
training_set\images\image_00162.jpg,162,PASS,2.879811788785964,2.001713006848634,0.0894953877546882,0,112.0,10/30/2024,9,6038
training_set\images\image_00163.jpg,163,PASS,2.2278912020218917,1.8240943497913904,0.4177170937866359,0,112.0,10/30/2024,10,6038
training_set\images\image_00164.jpg,164,PASS,1.7121379991419932,1.1375602507641405,0.5201197339722379,0,112.0,10/30/2024,11,6038
training_set\images\image_00165.jpg,165,PASS,2.0754696978800102,1.7646715211492374,0.0307196115928642,0,112.0,10/30/2024,12,6038
training_set\images\image_00166.jpg,166,PASS,2.7388065203098653,1.875514037724639,0.4441063389012765,0,112.0,10/30/2024,13,6038
training_set\images\image_00167.jpg,167,PASS,2.4588154056149603,1.7379175474762862,0.2480159490494968,0,112.0,10/30/2024,14,6038
training_set\images\image_00168.jpg,168,PASS,1.885517150390504,1.4446866869016095,0.4841383036380566,0,112.0,10/30/2024,15,6038
training_set\images\image_00169.jpg,169,PASS,2.3409611274951505,1.858831079726815,0.0526415554788051,0,112.0,10/30/2024,16,6038
training_set\images\image_00170.jpg,170,PASS,2.2880175765792137,1.6521958363144444,0.4188858967507702,0,112.0,10/30/2024,17,6038
training_set\images\image_00171.jpg,171,PASS,1.9780738210175035,1.5970621025316636,0.3397812209074486,0,112.0,10/30/2024,18,6038
training_set\images\image_00172.jpg,172,PASS,2.384424736177065,1.696680731361159,0.7770431761953527,0,112.0,10/30/2024,19,6038
training_set\images\image_00173.jpg,173,PASS,2.798531323760072,2.0721064707846466,0.432869611432805,0,112.0,10/30/2024,20,6038
training_set\images\image_00174.jpg,174,PASS,2.0878961258155946,1.7977528575568746,0.2317893796064183,0,112.0,10/30/2024,21,6038
training_set\images\image_00175.jpg,175,PASS,1.9470819540302784,1.7662815335762652,0.2637523102007097,0,112.0,10/30/2024,22,6038
training_set\images\image_00176.jpg,176,PASS,2.1416520964863577,1.5339834712917686,0.0415796536029775,0,112.0,10/30/2024,23,6038
training_set\images\image_00177.jpg,177,PASS,1.923366211201466,1.2166345528829503,0.0094741898284314,0,112.0,10/30/2024,24,6038
training_set\images\image_00178.jpg,178,PASS,2.5551518379299027,1.3506421375823028,0.9459097918059124,0,112.0,10/30/2024,25,6038
training_set\images\image_00179.jpg,179,PASS,1.9037471589282131,1.4737537699946788,0.3201027350771075,0,112.0,10/30/2024,26,6038
training_set\images\image_00180.jpg,180,PASS,1.7674167917123356,1.4061545684076329,0.1333976255121529,0,112.0,10/30/2024,27,6038
training_set\images\image_00181.jpg,181,PASS,1.8107741374660449,1.4096195264299551,0.2728760066520561,0,112.0,10/30/2024,28,6038
training_set\images\image_00182.jpg,182,FAIL,5.83035272498779,2.9799272233864613,4.228568955043,0,111.0,10/30/2024,54,7024
training_set\images\image_00183.jpg,183,FAIL,5.706529294931187,4.745764552108578,0.370843472585336,0,111.0,10/30/2024,55,7024
training_set\images\image_00184.jpg,184,FAIL,5.966091827427232,4.337805003670007,1.368823431736688,1,111.0,10/30/2024,56,7024
training_set\images\image_00185.jpg,185,FAIL,5.991650432651768,4.548490474793149,1.137666685170582,0,111.0,10/30/2024,57,7024
training_set\images\image_00186.jpg,186,FAIL,6.776745859338399,4.999829545777304,1.903444087432688,0,111.0,10/30/2024,58,7024
training_set\images\image_00187.jpg,187,FAIL,6.146199648266154,3.9516114985983113,1.4689236305217754,0,111.0,10/30/2024,59,7024
training_set\images\image_00188.jpg,188,FAIL,4.971375668239396,3.391311745198037,1.0223753749810696,0,111.0,10/30/2024,60,7024
training_set\images\image_00189.jpg,189,FAIL,3.610994652096564,2.90021156670859,0.5365367784686144,0,111.0,10/30/2024,61,7024
training_set\images\image_00190.jpg,190,FAIL,3.9446050177346574,2.553263468033352,0.8298607778971636,0,111.0,10/30/2024,62,7024
training_set\images\image_00191.jpg,191,FAIL,3.479210197615027,2.448026166599845,0.6363722614665295,1,111.0,10/30/2024,63,7024
training_set\images\image_00192.jpg,192,FAIL,3.788154518669311,2.8725780688015834,0.2805946866412383,0,111.0,10/30/2024,64,7024
training_set\images\image_00193.jpg,193,FAIL,3.5528581744963823,2.793776509865697,0.2849654613063963,0,111.0,10/30/2024,65,7024
training_set\images\image_00194.jpg,194,FAIL,2.087193458337926,1.8730797730625732,0.0022742633028483,0,111.0,10/30/2024,66,7024
training_set\images\image_00195.jpg,195,FAIL,3.367707995650229,1.874872227235813,0.9031084803467736,0,111.0,10/30/2024,67,7024
training_set\images\image_00196.jpg,196,FAIL,2.965236047647845,2.1451921742477715,0.6134642414872071,0,111.0,11/4/2024,68,7024
training_set\images\image_00197.jpg,197,FAIL,2.285548030075596,1.2893606794914907,0.4386694923043246,0,111.0,11/4/2024,69,7024
training_set\images\image_00198.jpg,198,FAIL,2.688049743039896,1.972707650619632,0.4681256196008228,0,111.0,11/4/2024,70,7024
training_set\images\image_00199.jpg,199,FAIL,4.49783399529025,2.805395977737501,2.04383953447486,0,111.0,11/4/2024,71,7024
training_set\images\image_00200.jpg,200,FAIL,3.514171465085317,2.502203807438596,0.2700513785046259,0,111.0,11/5/2024,72,7024
training_set\images\image_00201.jpg,201,FAIL,6.24201668680482,3.800548041944916,1.2456715341585325,0,111.0,11/5/2024,73,7024
training_set\images\image_00202.jpg,202,FAIL,3.3608075565593363,1.7841578758987542,1.0158530661108016,0,111.0,11/5/2024,74,7024
training_set\images\image_00203.jpg,203,FAIL,3.90521445158499,2.5002129743596746,1.8525538066422969,1,111.0,11/5/2024,75,7024
training_set\images\image_00204.jpg,204,FAIL,6.246930949521273,3.4880935116083407,3.77082429469136,0,111.0,11/5/2024,76,7024
training_set\images\image_00205.jpg,205,FAIL,2.75076790842134,1.783441922617125,0.7461177251624158,0,111.0,11/5/2024,77,7024
training_set\images\image_00206.jpg,206,FAIL,4.750257815342239,2.3404794758952137,1.9758779425255844,0,111.0,11/5/2024,78,7024
training_set\images\image_00207.jpg,207,FAIL,6.554164573202864,4.171409465468385,0.703572134942581,0,111.0,11/5/2024,79,7024
training_set\images\image_00208.jpg,208,FAIL,7.594095982677249,5.558711059458022,0.6607995558605637,0,111.0,11/5/2024,80,7024
training_set\images\image_00209.jpg,209,FAIL,4.2049049792850015,2.6659985692141994,0.0466741304632556,0,111.0,11/5/2024,81,7024
training_set\images\image_00210.jpg,210,FAIL,4.945225177752393,2.4226961525856368,2.297757758131875,0,111.0,11/5/2024,82,7024
training_set\images\image_00211.jpg,211,FAIL,5.0665713777055466,2.995686013236856,0.550891602555593,0,111.0,11/5/2024,83,7024
training_set\images\image_00212.jpg,212,FAIL,6.305712564780893,4.844778408936628,0.3713867606443335,0,111.0,11/5/2024,84,7024
training_set\images\image_00213.jpg,213,FAIL,4.679190197909033,3.016400460980272,0.639043335759867,0,111.0,11/5/2024,85,7024
training_set\images\image_00260.jpg,260,PASS,1.8120957166808027,1.4872263000462935,0.3455370109110125,0,113.0,11/19/2024,1,7024
training_set\images\image_00261.jpg,261,PASS,2.3689510903283373,1.346702162027733,0.1202213698031569,0,113.0,11/19/2024,2,7024
training_set\images\image_00262.jpg,262,PASS,1.928515891432225,1.2725542668953114,0.1410912171730687,0,113.0,11/19/2024,3,7024
training_set\images\image_00263.jpg,263,PASS,3.615501087373426,1.4864307743163696,1.877692869688231,1,113.0,11/19/2024,4,7024
training_set\images\image_00264.jpg,264,PASS,3.308092581099596,1.9291731387855788,1.115223960011383,0,113.0,11/19/2024,5,7024
training_set\images\image_00265.jpg,265,PASS,2.456614504923234,1.770224614587202,0.2694580264580102,0,113.0,11/19/2024,6,7024
training_set\images\image_00266.jpg,266,PASS,2.787038539870484,1.7398670978898885,0.4268716695872876,0,113.0,11/19/2024,7,7024
training_set\images\image_00267.jpg,267,PASS,2.193151465893945,1.5270599126427538,0.0358779401046849,0,113.0,11/19/2024,8,7024
training_set\images\image_00268.jpg,268,PASS,3.4805200221014254,1.9040668356474375,0.5849415928950878,0,113.0,11/19/2024,9,7024
training_set\images\image_00269.jpg,269,PASS,2.53548494460459,2.0148481954819366,0.2873294855150194,0,113.0,11/19/2024,10,7024
training_set\images\image_00270.jpg,270,PASS,2.460942406347088,1.574902270289065,0.5264618606703997,0,113.0,11/19/2024,11,7024
training_set\images\image_00271.jpg,271,PASS,2.116974050876561,1.541205942293136,0.0891348475609619,0,113.0,11/19/2024,12,7024
training_set\images\image_00272.jpg,272,PASS,1.7376875202896565,1.368926599890257,0.3542765160305339,0,113.0,11/19/2024,13,7024
training_set\images\image_00273.jpg,273,PASS,2.64685030413572,1.4833076659967566,0.8456828672499204,0,113.0,11/19/2024,14,7038
training_set\images\image_00274.jpg,274,PASS,2.4689927491993484,1.7606657707717783,0.1882227562783884,0,113.0,11/19/2024,1,7038
training_set\images\image_00275.jpg,275,PASS,2.181040147868009,1.6425209292679044,0.208051151263839,0,113.0,11/19/2024,2,7038
training_set\images\image_00276.jpg,276,PASS,2.667314258006738,2.077824561267981,0.3044456178259511,0,113.0,11/19/2024,4,7038
training_set\images\image_00277.jpg,277,PASS,3.8848214015236144,2.6194127108864844,0.0062128894000479,0,113.0,11/19/2024,5,7038
training_set\images\image_00280.jpg,280,PASS,2.897700965725577,1.6043830144669755,1.1182144956304996,0,113.0,11/19/2024,6,7038
training_set\images\image_00281.jpg,281,PASS,2.808031221185068,2.277117141754713,0.1471875437576684,0,113.0,11/19/2024,7,7038
training_set\images\image_00282.jpg,282,PASS,2.1561761363815397,1.37257852888054,0.4711925435484903,0,113.0,11/19/2024,8,7038
training_set\images\image_00283.jpg,283,PASS,2.0030561980427115,1.4573382854591437,0.2975875530940188,0,113.0,11/19/2024,9,7038
training_set\images\image_00284.jpg,284,PASS,1.9045419891256652,1.6793801861251545,0.0883408980913174,0,113.0,11/19/2024,10,7038
training_set\images\image_00285.jpg,285,PASS,2.0515877185219487,1.5722567088886703,0.280422055052131,0,113.0,11/19/2024,11,7038
training_set\images\image_00286.jpg,286,PASS,2.408987403494228,2.1193941706324244,0.1824947162707952,0,113.0,11/19/2024,12,7038
training_set\images\image_00287.jpg,287,PASS,2.459627755508903,1.7249880834667477,0.3609378336427382,0,113.0,11/19/2024,13,7038
training_set\images\image_00288.jpg,288,PASS,3.200880519510564,2.131160683563697,1.1930546633188746,0,113.0,11/19/2024,14,7038
training_set\images\image_00289.jpg,289,PASS,2.4013458443678517,1.9136633751798,0.1492224109825564,0,113.0,11/19/2024,15,7038
training_set\images\image_00290.jpg,290,PASS,2.302382295221584,1.9005338905696183,0.0792474868757544,0,113.0,11/19/2024,16,7038
training_set\images\image_00291.jpg,291,PASS,2.709997233447793,2.1134443800354625,0.2551204750125215,0,113.0,11/19/2024,17,7038
training_set\images\image_00292.jpg,292,PASS,3.173934937586228,2.2186103150631964,0.2806524027950732,0,113.0,11/19/2024,18,7038
training_set\images\image_00293.jpg,293,PASS,3.2027905118906874,2.340783187064798,0.5160862792232863,0,113.0,11/19/2024,19,7038
training_set\images\image_00294.jpg,294,PASS,1.381567447306505,0.8123764646454127,0.0778953155988602,0,113.0,11/19/2024,20,7038
training_set\images\image_00295.jpg,295,PASS,2.0326090081542523,1.4758726127477548,0.4505954099240818,0,113.0,11/19/2024,21,7038
training_set\images\image_00296.jpg,296,PASS,2.054181359874961,1.589990034957847,0.6529176151257261,1,113.0,11/19/2024,22,7038
training_set\images\image_00297.jpg,297,PASS,2.026631280609921,1.7884686245448496,0.0607754621790135,0,113.0,11/19/2024,23,7038
training_set\images\image_00298.jpg,298,PASS,2.263836029215593,1.8660773366912495,0.0973147787430233,0,113.0,11/19/2024,24,7038
training_set\images\image_00302.jpg,302,PASS,2.40004706865471,1.5225959452038127,0.7864422273064016,0,113.0,11/19/2024,25,7038
training_set\images\image_00303.jpg,303,PASS,3.7225631557147474,2.3631617126048448,0.8951344078960437,0,113.0,11/19/2024,26,7038
training_set\images\image_00304.jpg,304,PASS,2.3603628200550286,1.7271323318384442,0.1865796277766627,0,113.0,11/19/2024,27,7038
training_set\images\image_00305.jpg,305,PASS,2.304036338600824,1.9582749954299008,0.0431171033135964,0,113.0,11/19/2024,28,7038
training_set\images\image_00306.jpg,306,PASS,2.975063132899486,1.9136275321011127,0.855376402413583,0,113.0,11/19/2024,29,7038
training_set\images\image_00307.jpg,307,PASS,2.7046142489948624,1.997975484909522,0.0437390683800491,0,113.0,11/19/2024,30,7038
training_set\images\image_00308.jpg,308,PASS,2.126228829959553,1.7395859891304737,0.1098937936543853,0,113.0,11/19/2024,31,7038
training_set\images\image_00309.jpg,309,PASS,1.815063845138595,1.4928504232484094,0.318457299003555,0,113.0,11/19/2024,32,7038
training_set\images\image_00310.jpg,310,PASS,2.000909174811218,1.5144410689232917,0.1117016804905541,0,113.0,11/19/2024,33,7038
training_set\images\image_00332.jpg,332,FAIL,5.117421546687427,4.493847927573794,0.2908848436470537,0,111.0,11/20/2024,86,7024
training_set\images\image_00333.jpg,333,FAIL,7.748225663901454,5.835135674039445,0.293828694287928,0,111.0,11/20/2024,87,7024
training_set\images\image_00334.jpg,334,FAIL,6.245181176849876,4.351006356910343,0.7106529192409958,0,111.0,11/20/2024,88,7024
training_set\images\image_00335.jpg,335,FAIL,6.000945544323163,4.379566189224716,1.127880245981797,0,111.0,11/20/2024,89,7024
training_set\images\image_00336.jpg,336,FAIL,5.75236630565148,3.904016784630116,1.1778251725110556,0,111.0,11/20/2024,90,7024
training_set\images\image_00337.jpg,337,FAIL,5.4866501160522745,4.232993028393206,0.108771128809205,2,111.0,11/20/2024,91,7024
training_set\images\image_00338.jpg,338,FAIL,2.7203397073867888,1.98983908034116,0.2137700932190349,0,111.0,11/20/2024,92,7024
training_set\images\image_00339.jpg,339,FAIL,2.1741228111969284,0.8462736631746273,1.6093434040253651,0,111.0,11/20/2024,93,7024
training_set\images\image_00340.jpg,340,FAIL,7.748796769059531,6.288952698476403,0.5667482671855311,0,111.0,11/20/2024,94,7024
training_set\images\image_00341.jpg,341,FAIL,4.82625803065948,4.00357663750578,0.1668117228525796,0,111.0,11/20/2024,95,7024
training_set\images\image_00342.jpg,342,FAIL,7.256018634667951,5.756590655259903,1.8063328900204985,0,111.0,11/20/2024,96,7024
training_set\images\image_00343.jpg,343,FAIL,7.397348660025226,6.680509132982639,0.4350567428251191,0,111.0,11/20/2024,97,7024
training_set\images\image_00344.jpg,344,FAIL,7.077892152392903,5.563376768677897,2.197000959846334,0,111.0,11/20/2024,98,7024
training_set\images\image_00345.jpg,345,FAIL,9.49529698310806,7.482020782128218,0.6089620535687956,0,111.0,11/20/2024,99,7024
training_set\images\image_00346.jpg,346,FAIL,8.147728695883979,6.269134705349356,1.9884473159323504,0,111.0,11/20/2024,100,7024
training_set\images\image_00347.jpg,347,FAIL,8.744875355509556,6.0210725050078615,0.3335142736124368,0,111.0,11/20/2024,101,7024
training_set\images\image_00348.jpg,348,FAIL,8.235398455128744,6.827554728809782,0.537941337844754,0,111.0,11/20/2024,102,7024
training_set\images\image_00349.jpg,349,FAIL,7.071467621278355,5.944136932057607,1.3797886098641283,0,111.0,11/20/2024,103,7024
training_set\images\image_00350.jpg,350,FAIL,6.877482932290635,4.42241390078323,2.564343260155648,0,111.0,11/20/2024,104,7024
training_set\images\image_00351.jpg,351,FAIL,6.82487834438645,5.625947107962813,1.5534249251231849,0,111.0,11/20/2024,105,7024
training_set\images\image_00352.jpg,352,FAIL,5.18404768506669,4.0477021513445495,1.0924025650634943,0,111.0,11/20/2024,106,7024
training_set\images\image_00353.jpg,353,FAIL,6.463752697395603,4.473328170395786,0.6507047952842573,0,111.0,11/20/2024,107,7024
training_set\images\image_00354.jpg,354,FAIL,6.75817416397081,4.629509681872651,2.6638842407578998,0,111.0,11/20/2024,108,7024
training_set\images\image_00355.jpg,355,FAIL,6.5364163404609394,5.734804413325615,0.0678727875660261,0,111.0,11/20/2024,109,7024
training_set\images\image_00356.jpg,356,FAIL,8.197745815433464,6.322187152066003,0.2145982838345173,0,111.0,11/20/2024,110,7024
training_set\images\image_00357.jpg,357,FAIL,7.536596194739533,6.6557595051758405,0.7671565632471644,1,111.0,11/20/2024,111,7024
training_set\images\image_00358.jpg,358,FAIL,8.016687792375588,5.963810202990897,1.5661428607013637,0,111.0,11/20/2024,112,7024
training_set\images\image_00359.jpg,359,FAIL,7.608835600422386,6.002067136935957,0.810478214771094,0,111.0,11/20/2024,113,7024
training_set\images\image_00361.jpg,361,FAIL,8.324975124379826,6.22888989077758,2.673032303183964,0,111.0,11/20/2024,114,7024
