Date,Truck Number,Well Number,Well Size,Base Color Avg Delta E,Base Color Max Delta E,Thermal Shock Avg Delta E,Thermal Shock Max Delta E,Max L Diff - Base to Shock,Max a Diff - Base to Shock,Max b Diff - Base to Shock,Max Delta E - Base to Shock,Raw image file,Thermal shock mask file,Pass (General Inspection),Thermal shock pixel count,% pixels in thermal shock,Notes
10/29/2024,111,39,7024,1.674343197,1.777329457,4.65676581,9.88713811,-2.09,0.82,-10.88,10.91251117,image_00125.jpg,image_00125_THERMAL_SHOCK.png,0,2415789,0.253610326,Yellow Part
10/29/2024,111,40,7024,1.78684064,1.951768429,5.163677839,6.83861097,-1.79,0.61,-7.92,7.958416928,image_00126.jpg,image_00126_THERMAL_SHOCK.png,0,2415345,0.253563715,Yellow Part
10/29/2024,111,41,7024,2.194974446,2.521705772,8.484412328,13.15685753,-1.93,-0.27,-13.03,13.09637354,image_00127.jpg,image_00127_THERMAL_SHOCK.png,0,2736657,0.287295155,Yellow Part
10/29/2024,111,42,7024,1.900579144,2.022498455,3.118029809,4.47898426,-1.67,0.83,-5.54,5.63951239,image_00128.jpg,image_00128_THERMAL_SHOCK.png,0,2459502,0.258199331,Yellow Part
10/29/2024,111,43,7024,1.796056796,1.990653159,5.368873148,7.273059879,1.37,0.74,-8,8.01249649,image_00129.jpg,image_00129_THERMAL_SHOCK.png,0,2565495,0.269326511,Yellow Part
10/29/2024,111,44,7024,1.799459821,1.982246201,4.874464478,7.325755934,-1.59,1.04,-8.35,8.448769141,image_00131.jpg,image_00131_THERMAL_SHOCK.png,0,2381019,0.24996016,Yellow Part
10/29/2024,111,45,7024,1.628347873,1.98831587,7.841613115,9.162805247,-1.75,1.3,-9.86,9.911730424,image_00132.jpg,image_00132_THERMAL_SHOCK.png,0,2719362,0.28547952,Yellow Part
10/29/2024,111,46,7024,2.429288973,3.238965884,3.121581381,6.370086342,-3.65,-1.07,-7.34,7.728887371,image_00133.jpg,image_00133_THERMAL_SHOCK.png,0,2517420,0.264279582,Yellow Part
10/29/2024,111,47,7024,1.933484112,2.188812463,3.74237458,5.718959696,-3.77,1.23,-6.69,6.900941965,image_00134.jpg,image_00134_THERMAL_SHOCK.png,0,2236635,0.23480268,Yellow Part
10/29/2024,111,48,7024,2.015438931,2.309220648,4.932919955,7.043578636,-1.62,-1.62,-7.16,7.305675876,image_00135.jpg,image_00135_THERMAL_SHOCK.png,0,2233269,0.234449316,Yellow Part
10/29/2024,111,49,7024,1.884568177,2.12985915,3.641024311,4.760514678,2.21,-0.83,-4.98,5.268529207,image_00136.jpg,image_00136_THERMAL_SHOCK.png,0,2639268,0.277071225,Yellow Part
10/29/2024,111,50,7024,2.327625964,2.458475137,4.008212921,6.853750798,-2.49,-1.25,-6.73,6.807569317,image_00137.jpg,image_00137_THERMAL_SHOCK.png,0,2105994,0.221087945,Yellow Part
10/29/2024,111,51,7024,2.34145993,2.635867978,6.572450675,7.431944564,-1.99,-1.15,-7.17,7.19642967,image_00138.jpg,image_00138_THERMAL_SHOCK.png,0,2149659,0.225671911,Yellow Part
10/29/2024,111,52,7024,2.451972342,3.101386787,7.388154487,9.818171928,-1.71,1.24,-10.17,10.2672002,image_00139.jpg,image_00139_THERMAL_SHOCK.png,0,2268468,0.238144519,Yellow Part
10/29/2024,111,53,7024,2.32686931,2.893250767,7.698611421,10.76942431,-1.65,-1.24,-11.07,11.09430034,image_00140.jpg,image_00140_THERMAL_SHOCK.png,0,2669919,0.280288977,Yellow Part
10/29/2024,112,1,6024,1.481616856,1.649878783,1.168280952,1.816672783,-2.83,-0.44,-1.22,3.041447024,image_00141.jpg,image_00141_THERMAL_SHOCK.png,1,1517622,0.14470345,
10/29/2024,112,2,6024,1.491836916,1.634808857,1.490516993,2.192897626,-2.86,-0.79,-1.54,3.324710514,image_00142.jpg,image_00142_THERMAL_SHOCK.png,1,2131530,0.203238846,
10/29/2024,112,3,6024,1.813647615,2.317779109,1.660838296,2.126805116,-3.02,-1.25,-2.3,3.777565354,image_00143.jpg,image_00143_THERMAL_SHOCK.png,1,1722087,0.164198944,
10/29/2024,112,4,6024,1.22433921,1.434642813,1.360673168,2.66056385,-2.26,-1.65,-2.64,3.715494583,image_00144.jpg,image_00144_THERMAL_SHOCK.png,1,1905693,0.181705558,
10/29/2024,112,5,6024,1.639467162,1.922732431,1.651663627,3.176554737,-3.09,-0.99,1.98,3.727116848,image_00145.jpg,image_00145_THERMAL_SHOCK.png,1,1969539,0.187793198,
10/29/2024,112,6,6024,1.759900161,2.282564347,13.99648393,71.12280436,70.16,-2.66,-3.75,70.18572291,image_00146.jpg,image_00146_THERMAL_SHOCK.png,1,1633278,0.155731112,
10/29/2024,112,7,6024,1.509294457,1.668622186,1.639600772,2.509760945,-2.54,-1.69,-2.6,3.704078833,image_00147.jpg,image_00147_THERMAL_SHOCK.png,1,1959465,0.186832654,
10/29/2024,112,8,6024,1.594654266,1.673349934,1.537761529,2.681436182,-3.23,-1.2,-2.36,4.0392326,image_00148.jpg,image_00148_THERMAL_SHOCK.png,1,2063913,0.196791646,
10/29/2024,112,9,6024,1.854498508,1.913112647,1.4621736,2.415967715,-3.47,-0.44,-1.25,3.667069675,image_00149.jpg,image_00149_THERMAL_SHOCK.png,1,1555755,0.148339386,
10/29/2024,112,10,6024,1.823168149,1.906567596,1.166771038,1.744792251,-2.72,-0.68,-1.43,3.102853525,image_00150.jpg,image_00150_THERMAL_SHOCK.png,1,1563387,0.149067088,
10/29/2024,112,11,6024,1.643286081,1.896364944,12.93729046,71.0822404,70.41,0.53,-1.26,70.41555936,image_00151.jpg,image_00151_THERMAL_SHOCK.png,1,1462593,0.1394565,
10/29/2024,112,12,6024,1.706679494,1.778932264,1.10249523,1.591257364,-2.41,-0.34,-1.02,2.567703254,image_00152.jpg,image_00152_THERMAL_SHOCK.png,1,1289025,0.122906998,
10/29/2024,112,1,6038,1.672750174,2.063201396,1.357053728,1.703085435,-3,-0.57,-1.34,3.325748036,image_00153.jpg,image_00153_THERMAL_SHOCK.png,1,3294882,0.212785241,
10/29/2024,112,2,6038,1.809205547,2.14263856,1.222848007,1.666793329,-2.92,-0.68,-1.28,3.008936689,image_00154.jpg,image_00154_THERMAL_SHOCK.png,1,3575211,0.230889038,
10/29/2024,112,3,6038,1.559758707,1.864564292,1.423075963,2.094015282,-3.04,-0.83,-1.87,3.375455525,image_00155.jpg,image_00155_THERMAL_SHOCK.png,1,3803934,0.245660091,
10/29/2024,112,4,6038,1.558513775,1.740258601,1.799156439,2.748708788,-3.39,-1.03,-2.04,4.04883934,image_00156.jpg,image_00156_THERMAL_SHOCK.png,1,4257993,0.274983464,
10/29/2024,112,5,6038,1.844682262,1.909057359,1.426963019,1.783844164,-1.97,-0.45,-1.13,2.272839634,image_00157.jpg,image_00157_THERMAL_SHOCK.png,1,3770040,0.243471199,
10/29/2024,112,6,6038,1.784462677,1.834802442,1.624439753,2.112699695,-2.78,-0.33,-0.86,2.885983368,image_00158.jpg,image_00158_THERMAL_SHOCK.png,1,3269145,0.211123132,
10/30/2024,112,7,6038,1.930416877,2.176786623,1.405644306,2.08794157,-3.19,-0.51,-0.9,3.255933046,image_00160.jpg,image_00160_THERMAL_SHOCK.png,1,3291375,0.212558757,
10/30/2024,112,8,6038,1.986210078,2.335893833,1.195760259,1.982952344,-3.28,-0.59,-1.48,3.401602563,image_00161.jpg,image_00161_THERMAL_SHOCK.png,1,3110418,0.200872457,
10/30/2024,112,9,6038,1.645738153,1.765021246,1.654364857,2.061892335,-2.38,-1.86,-2.66,3.584452538,image_00162.jpg,image_00162_THERMAL_SHOCK.png,1,4278642,0.276316988,
10/30/2024,112,10,6038,1.781668375,2.101071155,1.294102896,2.252576303,-3.42,-0.77,-1.74,3.545447786,image_00163.jpg,image_00163_THERMAL_SHOCK.png,1,3897105,0.251677124,
10/30/2024,112,11,6038,1.712911015,2.524698002,1.391784994,1.794045707,-3.27,0.74,-1.08,3.474320077,image_00164.jpg,image_00164_THERMAL_SHOCK.png,1,3931266,0.25388326,
10/30/2024,112,12,6038,1.928646163,2.27178344,1.468851983,1.962956953,-3.37,-0.88,-1.09,3.442470043,image_00165.jpg,image_00165_THERMAL_SHOCK.png,1,3251823,0.210004468,
10/30/2024,112,13,6038,2.007799081,2.546114687,1.592968463,2.120047169,-4.08,-0.62,-1.47,4.380833254,image_00166.jpg,image_00166_THERMAL_SHOCK.png,1,3452937,0.222992517,
10/30/2024,112,14,6038,1.888417317,2.290043668,1.48413159,2.030689538,-3.72,-0.78,-1.69,3.933878493,image_00167.jpg,image_00167_THERMAL_SHOCK.png,1,3648339,0.235611683,
10/30/2024,112,15,6038,1.38574505,1.840923681,1.364948638,1.944762196,-3.25,-0.73,-0.95,3.357037384,image_00168.jpg,image_00168_THERMAL_SHOCK.png,1,2963514,0.191385318,
10/30/2024,112,16,6038,2.02606407,3.344861731,1.231529743,1.649878783,-4.63,-0.68,-1.28,4.737488786,image_00169.jpg,image_00169_THERMAL_SHOCK.png,1,3305343,0.213460818,
10/30/2024,112,17,6038,1.805444545,1.930336758,1.689917249,2.717682837,-3.15,-0.47,-1.08,3.35663522,image_00170.jpg,image_00170_THERMAL_SHOCK.png,1,3134343,0.202417546,
10/30/2024,112,18,6038,1.795040927,1.921119465,1.100037583,1.386290013,-2.48,-0.58,-1.56,2.840721739,image_00171.jpg,image_00171_THERMAL_SHOCK.png,1,3037410,0.196157562,
10/30/2024,112,19,6038,1.843051437,1.88433012,1.711415097,2.538601977,-3.36,-0.41,-0.86,3.439142335,image_00172.jpg,image_00172_THERMAL_SHOCK.png,1,3524376,0.227606086,
10/30/2024,112,20,6038,2.44904215,3.472362308,1.764144862,2.325467695,-5.03,-0.42,-1.36,5.188092135,image_00173.jpg,image_00173_THERMAL_SHOCK.png,1,3251208,0.209964751,
10/30/2024,112,21,6038,2.046662543,2.643350147,1.435753878,1.835456347,-3.05,-0.41,-1.92,3.147713456,image_00174.jpg,image_00174_THERMAL_SHOCK.png,1,3541992,0.228743737,
10/30/2024,112,22,6038,2.347260569,2.832331195,1.370416105,1.71749818,-2.53,-0.45,-2.03,3.035292408,image_00175.jpg,image_00175_THERMAL_SHOCK.png,1,3560940,0.229967409,
10/30/2024,112,23,6038,2.01257691,2.307379466,1.480929046,1.977422565,-3.34,-0.42,-1.09,3.460491295,image_00176.jpg,image_00176_THERMAL_SHOCK.png,1,3376527,0.218057919,
10/30/2024,112,24,6038,1.94141864,2.008407329,1.661170559,1.872565086,-2.61,-0.37,-1.17,2.751108867,image_00177.jpg,image_00177_THERMAL_SHOCK.png,1,2793075,0.180378277,
10/30/2024,112,25,6038,1.94488473,2.032559962,1.821221705,2.72728803,-3.54,-0.62,-1.04,3.713731277,image_00178.jpg,image_00178_THERMAL_SHOCK.png,1,2993574,0.193326609,
10/30/2024,112,26,6038,2.047044558,2.722370291,1.385364309,1.911805429,-2.6,-0.89,-1.91,2.987657946,image_00179.jpg,image_00179_THERMAL_SHOCK.png,1,3259248,0.210483978,
10/30/2024,112,27,6038,2.073201306,2.228138236,1.450955285,2.452060358,-2.5,-0.47,-1.42,2.609693469,image_00180.jpg,image_00180_THERMAL_SHOCK.png,1,3565407,0.23025589,
10/30/2024,112,28,6038,1.784750575,2.162544797,1.583365144,1.955658457,-2.97,0.74,-1.42,3.202967374,image_00181.jpg,image_00181_THERMAL_SHOCK.png,1,3276252,0.211582106,
10/30/2024,111,54,7024,1.757057842,2.435343918,4.436953492,8.67071508,-1.79,-1.67,-8.44,8.608187963,image_00182.jpg,image_00182_THERMAL_SHOCK.png,0,2588592,0.271751242,Yellow Part
10/30/2024,111,55,7024,1.961912137,2.352232982,7.386924809,9.072320541,-1.38,-1.22,-8.57,8.709822042,image_00183.jpg,image_00183_THERMAL_SHOCK.png,0,2463228,0.258590488,Yellow Part
10/30/2024,111,56,7024,3.243136786,6.59883323,6.038420477,8.179455972,-2.77,-0.98,-8.26,8.510611024,image_00184.jpg,image_00184_THERMAL_SHOCK.png,0,2357559,0.247497321,Yellow Part
10/30/2024,111,57,7024,2.11896673,2.365607744,6.12048483,7.879397185,-2.85,1.58,-8.41,8.517076963,image_00185.jpg,image_00185_THERMAL_SHOCK.png,0,2009751,0.210984323,Yellow Part
10/30/2024,111,58,7024,1.834330941,2.019975247,7.116262529,10.35320723,3.85,-2.81,-8.45,9.61793117,image_00186.jpg,image_00186_THERMAL_SHOCK.png,0,2238387,0.234986606,Yellow Part
10/30/2024,111,59,7024,2.360930358,2.432180092,5.373415894,8.74138433,-1.69,-1.09,-8.95,9.033504303,image_00187.jpg,image_00187_THERMAL_SHOCK.png,0,2421957,0.254257845,Yellow Part
10/30/2024,111,60,7024,2.079121712,3.575821584,3.597146226,6.32950235,-4.02,-0.89,-6.74,7.10545565,image_00188.jpg,image_00188_THERMAL_SHOCK.png,0,2014317,0.211463663,Yellow Part
10/30/2024,111,61,7024,1.614750824,1.963619108,3.35351014,4.417838838,-1.97,-2.2,-4.22,4.817769193,image_00189.jpg,image_00189_THERMAL_SHOCK.png,0,2585655,0.271442915,Yellow Part
10/30/2024,111,62,7024,2.011957998,2.402602755,2.449876358,4.656286074,-4.09,-1.37,-5.2,5.699973684,image_00190.jpg,image_00190_THERMAL_SHOCK.png,0,2518677,0.264411542,Yellow Part-Capstone lost texture
10/30/2024,111,63,7024,21.27868677,79.09628942,2.311502952,3.997136475,-80.12,-2.21,-3.67,80.14161778,image_00191.jpg,image_00191_THERMAL_SHOCK.png,0,2184801,0.22936113,Yellow Part
10/30/2024,111,64,7024,1.872529037,2.53148178,3.586428689,4.782321612,-2.36,-1.3,-4.83,4.928255269,image_00192.jpg,image_00192_THERMAL_SHOCK.png,0,2287968,0.240191635,yellow Part
10/30/2024,111,65,7024,3.183284171,6.31803767,1.777922043,3.509786318,-7.86,0.78,-3.96,7.995479973,image_00193.jpg,image_00193_THERMAL_SHOCK.png,0,2707023,0.284184167,Yellow Part
10/30/2024,111,66,7024,1.97313727,2.425386567,1.775931755,2.7110699,-2.38,-1.4,-2.52,2.98068784,image_00194.jpg,image_00194_THERMAL_SHOCK.png,0,2192718,0.230192259,Yellow Part
10/30/2024,111,67,7024,1.919193385,2.27345552,1.828323717,3.242236882,-2.9,1.26,-3.77,4.273113619,image_00195.jpg,image_00195_THERMAL_SHOCK.png,0,2378568,0.249702853,Yellow Part
11/20/2024,,137,6024,0.99574239,1.347738847,2.692625808,5.081633596,-5.63,1.24,0.83,5.733951517,image_00388.jpg,image_00388_THERMAL_SHOCK.png,0,3758184,0.358338368,Dalmata
11/20/2024,,138,6024,1.487888089,1.754565473,84.46142915,492.6836863,-5.46,-0.33,-493.74,493.7610011,image_00389.jpg,image_00389_THERMAL_SHOCK.png,0,2878260,0.274438662,Dalmata
11/20/2024,,139,6024,1.607901252,1.735194514,2.25402424,4.219170535,-5.35,0.83,-1.38,5.420156824,image_00390.jpg,image_00390_THERMAL_SHOCK.png,0,3045609,0.29039519,Dalmata
11/20/2024,,140,6024,1.810634707,2.103806075,1.409152413,2.310389578,-3.79,-0.37,-1.15,3.977876318,image_00391.jpg,image_00391_THERMAL_SHOCK.png,0,2650116,0.252685404,Dalmata
11/20/2024,,141,6024,1.841884429,2.670543016,1.309704179,2.36241402,-4.55,-0.4,-1.43,4.616167241,image_00392.jpg,image_00392_THERMAL_SHOCK.png,0,2703693,0.257793907,Dalmata
11/20/2024,,142,6024,1.717458347,1.774992958,1.507310552,1.795271567,-2.77,-0.42,-1.34,2.960624934,image_00393.jpg,image_00393_THERMAL_SHOCK.png,0,2487339,0.237164811,Dalmata
11/20/2024,,143,6024,1.656957573,2.06874358,1.549784279,2.284950765,-3.86,0.67,-1.25,4.06995086,image_00394.jpg,image_00394_THERMAL_SHOCK.png,0,2554191,0.243539069,Dalmata
11/20/2024,,146,6024,1.794446918,1.971344719,2.342538685,3.065028548,-4.6,-0.53,-1.68,4.796352781,image_00397.jpg,image_00397_THERMAL_SHOCK.png,0,3515436,0.335192635,Dalmata
11/20/2024,,147,6024,1.696471221,1.799472145,2.09817705,4.263396416,-5.64,0.74,-1.153,5.718136847,image_00398.jpg,image_00398_THERMAL_SHOCK.png,0,3951336,0.376755181,Dalmata
11/20/2024,,149,6024,1.822505093,2.139298951,2.97468551,4.299872091,-6.08,0.81,-1.48,6.146389184,image_00399.jpg,image_00399_THERMAL_SHOCK.png,0,2981541,0.284286383,Dalmata
11/20/2024,,150,6024,1.645180352,1.712103969,2.625988289,7.479899732,-8.87,-0.7,-1.99,8.945132755,image_00400.jpg,image_00400_THERMAL_SHOCK.png,0,3393636,0.32357915,Dalmata
11/20/2024,,151,6024,1.725113245,2.197589589,1.617800429,3.312914125,-5,-0.74,-1.75,5.273822143,image_00401.jpg,image_00401_THERMAL_SHOCK.png,0,3264036,0.311221945,Dalmata
11/20/2024,,152,6024,1.691348285,1.795494361,2.011501628,3.726955862,-5.12,-0.55,-1.81,5.18970134,image_00402.jpg,image_00402_THERMAL_SHOCK.png,0,3271767,0.311959086,Dalmata
11/21/2024,,153,6024,1.586813924,1.918567174,2.230758826,3.707802584,-5.38,-0.57,-1.29,5.424214229,image_00403.jpg,image_00403_THERMAL_SHOCK.png,0,2996811,0.285742359,Discolored
11/21/2024,,154,6024,2.474796698,4.438310489,2.77657412,3.85768065,-8.12,-0.73,-1.99,8.177731959,image_00404.jpg,image_00404_THERMAL_SHOCK.png,0,3667545,0.349696047,Discolored
